,Sequence_name,Prediction,probability
2068,|1|Training,Non-autophagy protein,90.04%
2069,|1|Training,Non-autophagy protein,51.89%
2070,|1|Training,Non-autophagy protein,99.34%
2071,|1|Training,Non-autophagy protein,98.47%
2072,|1|Training,Non-autophagy protein,86.08%
2073,|1|Training,Non-autophagy protein,89.67%
2074,|1|Training,Non-autophagy protein,94.46%
2075,|1|Training,Non-autophagy protein,75.96%
2076,|1|Training,Non-autophagy protein,99.70%
2077,|1|Training,Non-autophagy protein,98.95%
2078,|1|Training,Non-autophagy protein,96.73%
2079,|1|Training,Autophagy Protein,72.65%
2080,|1|Training,Non-autophagy protein,94.11%
2081,|1|Training,Non-autophagy protein,99.67%
2082,|1|Training,Non-autophagy protein,56.44%
2083,|1|Training,Non-autophagy protein,99.27%
2084,|1|Training,Non-autophagy protein,75.81%
2085,|1|Training,Non-autophagy protein,83.00%
2086,|1|Training,Non-autophagy protein,98.73%
2087,|1|Training,Autophagy Protein,73.94%
2088,|1|Training,Non-autophagy protein,87.01%
2089,|1|Training,Non-autophagy protein,93.44%
2090,|1|Training,Autophagy Protein,64.43%
2091,|1|Training,Non-autophagy protein,99.82%
2092,|1|Training,Non-autophagy protein,50.00%
2093,|1|Training,Autophagy Protein,73.23%
2094,|1|Training,Non-autophagy protein,51.51%
2095,|1|Training,Non-autophagy protein,99.09%
2096,|1|Training,Non-autophagy protein,94.72%
2097,|1|Training,Non-autophagy protein,99.86%
2098,|1|Training,Non-autophagy protein,99.81%
2099,|1|Training,Non-autophagy protein,73.68%
2100,|1|Training,Non-autophagy protein,73.65%
2101,|1|Training,Non-autophagy protein,79.83%
2102,|1|Training,Non-autophagy protein,99.14%
2103,|1|Training,Non-autophagy protein,99.53%
2104,|1|Training,Non-autophagy protein,98.36%
2105,|1|Training,Non-autophagy protein,99.23%
2106,|1|Training,Non-autophagy protein,99.38%
2107,|1|Training,Non-autophagy protein,98.85%
2108,|1|Training,Non-autophagy protein,99.28%
2109,|1|Training,Non-autophagy protein,99.23%
2110,|1|Training,Non-autophagy protein,99.19%
2111,|1|Training,Non-autophagy protein,99.31%
2112,|1|Training,Non-autophagy protein,99.48%
2113,|1|Training,Non-autophagy protein,99.36%
2114,|1|Training,Non-autophagy protein,99.15%
2115,|1|Training,Non-autophagy protein,97.19%
2116,|1|Training,Non-autophagy protein,99.33%
2117,|1|Training,Non-autophagy protein,92.16%
2118,|1|Training,Non-autophagy protein,99.39%
2119,|1|Training,Non-autophagy protein,99.42%
2120,|1|Training,Non-autophagy protein,98.31%
2121,|1|Training,Non-autophagy protein,99.74%
2122,|1|Training,Non-autophagy protein,99.19%
2123,|1|Training,Non-autophagy protein,98.90%
2124,|1|Training,Non-autophagy protein,98.90%
2125,|1|Training,Non-autophagy protein,99.53%
2126,|1|Training,Non-autophagy protein,98.72%
2127,|1|Training,Non-autophagy protein,98.90%
2128,|1|Training,Non-autophagy protein,98.49%
2129,|1|Training,Non-autophagy protein,89.50%
2130,|1|Training,Non-autophagy protein,97.33%
2131,|1|Training,Non-autophagy protein,69.76%
2132,|1|Training,Non-autophagy protein,89.95%
2133,|1|Training,Non-autophagy protein,92.22%
2134,|1|Training,Non-autophagy protein,86.78%
2135,|1|Training,Non-autophagy protein,99.23%
2136,|1|Training,Non-autophagy protein,93.11%
2137,|1|Training,Non-autophagy protein,82.45%
2138,|1|Training,Non-autophagy protein,99.87%
2139,|1|Training,Non-autophagy protein,99.42%
2140,|1|Training,Non-autophagy protein,90.17%
2141,|1|Training,Non-autophagy protein,93.63%
2142,|1|Training,Non-autophagy protein,98.89%
2143,|1|Training,Autophagy Protein,100.00%
2144,|1|Training,Autophagy Protein,100.00%
2145,|1|Training,Autophagy Protein,100.00%
2146,|1|Training,Non-autophagy protein,91.07%
2147,|1|Training,Non-autophagy protein,99.49%
2148,|1|Training,Non-autophagy protein,88.82%
2149,|1|Training,Non-autophagy protein,53.75%
2150,|1|Training,Non-autophagy protein,53.14%
2151,|1|Training,Non-autophagy protein,95.65%
2152,|1|Training,Non-autophagy protein,99.23%
2153,|1|Training,Non-autophagy protein,52.35%
2154,|1|Training,Non-autophagy protein,96.19%
2155,|1|Training,Non-autophagy protein,97.45%
2156,|1|Training,Non-autophagy protein,90.52%
2157,|1|Training,Non-autophagy protein,99.76%
2158,|1|Training,Non-autophagy protein,99.14%
2159,|1|Training,Non-autophagy protein,92.39%
2160,|1|Training,Non-autophagy protein,99.00%
2161,|1|Training,Non-autophagy protein,81.49%
2162,|1|Training,Non-autophagy protein,99.67%
2163,|1|Training,Non-autophagy protein,52.97%
2164,|1|Training,Non-autophagy protein,99.37%
2165,|1|Training,Non-autophagy protein,99.03%
2166,|1|Training,Non-autophagy protein,93.71%
2167,|1|Training,Non-autophagy protein,99.75%
2168,|1|Training,Non-autophagy protein,58.26%
2169,|1|Training,Non-autophagy protein,99.11%
2170,|1|Training,Non-autophagy protein,77.91%
2171,|1|Training,Non-autophagy protein,99.57%
2172,|1|Training,Non-autophagy protein,99.57%
2173,|1|Training,Non-autophagy protein,99.29%
2174,|1|Training,Non-autophagy protein,98.11%
2175,|1|Training,Non-autophagy protein,91.80%
2176,|1|Training,Non-autophagy protein,95.30%
2177,|1|Training,Non-autophagy protein,96.73%
2178,|1|Training,Non-autophagy protein,93.44%
2179,|1|Training,Autophagy Protein,64.38%
2180,|1|Training,Non-autophagy protein,88.98%
2181,|1|Training,Non-autophagy protein,99.70%
2182,|1|Training,Non-autophagy protein,93.60%
2183,|1|Training,Non-autophagy protein,99.42%
2184,|1|Training,Non-autophagy protein,99.82%
2185,|1|Training,Non-autophagy protein,72.98%
2186,|1|Training,Non-autophagy protein,97.62%
2187,|1|Training,Non-autophagy protein,97.60%
2188,|1|Training,Non-autophagy protein,98.67%
2189,|1|Training,Non-autophagy protein,98.93%
2190,|1|Training,Non-autophagy protein,96.87%
2191,|1|Training,Non-autophagy protein,96.75%
2192,|1|Training,Autophagy Protein,69.95%
2193,|1|Training,Autophagy Protein,85.63%
2194,|1|Training,Non-autophagy protein,58.80%
2195,|1|Training,Non-autophagy protein,91.25%
2196,|1|Training,Non-autophagy protein,98.55%
2197,|1|Training,Non-autophagy protein,84.91%
2198,|1|Training,Non-autophagy protein,90.93%
2199,|1|Training,Non-autophagy protein,75.59%
2200,|1|Training,Non-autophagy protein,99.08%
2201,|1|Training,Autophagy Protein,87.63%
2202,|1|Training,Non-autophagy protein,88.65%
2203,|1|Training,Non-autophagy protein,96.88%
2204,|1|Training,Autophagy Protein,85.28%
2205,|1|Training,Non-autophagy protein,86.66%
2206,|1|Training,Non-autophagy protein,53.77%
2207,|1|Training,Autophagy Protein,75.27%
2208,|1|Training,Non-autophagy protein,93.14%
2209,|1|Training,Non-autophagy protein,53.56%
2210,|1|Training,Non-autophagy protein,99.00%
2211,|1|Training,Non-autophagy protein,49.15%
2212,|1|Training,Non-autophagy protein,91.14%
2213,|1|Training,Non-autophagy protein,96.72%
2214,|1|Training,Non-autophagy protein,55.54%
2215,|1|Training,Non-autophagy protein,78.00%
2216,|1|Training,Non-autophagy protein,64.30%
2217,|1|Training,Non-autophagy protein,94.51%
2218,|1|Training,Non-autophagy protein,89.29%
2219,|1|Training,Non-autophagy protein,98.78%
2220,|1|Training,Non-autophagy protein,85.21%
2221,|1|Training,Non-autophagy protein,81.08%
2222,|1|Training,Non-autophagy protein,98.66%
2223,|1|Training,Non-autophagy protein,60.17%
2224,|1|Training,Non-autophagy protein,92.29%
2225,|1|Training,Autophagy Protein,90.90%
2226,|1|Training,Non-autophagy protein,99.64%
2227,|1|Training,Non-autophagy protein,97.75%
2228,|1|Training,Non-autophagy protein,95.72%
2229,|1|Training,Non-autophagy protein,99.60%
2230,|1|Training,Non-autophagy protein,89.46%
2231,|1|Training,Non-autophagy protein,89.97%
2232,|1|Training,Non-autophagy protein,95.70%
2233,|1|Training,Non-autophagy protein,98.88%
2234,|1|Training,Non-autophagy protein,68.25%
2235,|1|Training,Non-autophagy protein,74.51%
2236,|1|Training,Non-autophagy protein,86.12%
2237,|1|Training,Non-autophagy protein,51.71%
2238,|1|Training,Non-autophagy protein,62.61%
2239,|1|Training,Non-autophagy protein,94.68%
2240,|1|Training,Non-autophagy protein,93.87%
2241,|1|Training,Non-autophagy protein,97.31%
2242,|1|Training,Non-autophagy protein,98.74%
2243,|1|Training,Non-autophagy protein,92.85%
2244,|1|Training,Autophagy Protein,91.65%
2245,|1|Training,Non-autophagy protein,96.67%
2246,|1|Training,Non-autophagy protein,99.56%
2247,|1|Training,Non-autophagy protein,99.43%
2248,|1|Training,Non-autophagy protein,97.48%
2249,|1|Training,Non-autophagy protein,64.13%
2250,|1|Training,Non-autophagy protein,98.27%
2251,|1|Training,Non-autophagy protein,99.43%
2252,|1|Training,Non-autophagy protein,80.14%
2253,|1|Training,Non-autophagy protein,99.47%
2254,|1|Training,Non-autophagy protein,97.95%
2255,|1|Training,Non-autophagy protein,93.74%
2256,|1|Training,Autophagy Protein,74.10%
2257,|1|Training,Non-autophagy protein,92.94%
2258,|1|Training,Non-autophagy protein,97.43%
2259,|1|Training,Non-autophagy protein,59.71%
2260,|1|Training,Non-autophagy protein,98.21%
2261,|1|Training,Non-autophagy protein,81.16%
2262,|1|Training,Non-autophagy protein,78.69%
2263,|1|Training,Non-autophagy protein,89.22%
2264,|1|Training,Non-autophagy protein,98.02%
2265,|1|Training,Non-autophagy protein,93.86%
2266,|1|Training,Non-autophagy protein,82.89%
2267,|1|Training,Non-autophagy protein,77.98%
2268,|1|Training,Autophagy Protein,83.13%
2269,|1|Training,Non-autophagy protein,95.57%
2270,|1|Training,Non-autophagy protein,93.68%
2271,|1|Training,Non-autophagy protein,99.27%
2272,|1|Training,Non-autophagy protein,89.13%
2273,|1|Training,Non-autophagy protein,69.08%
2274,|1|Training,Non-autophagy protein,98.80%
2275,|1|Training,Non-autophagy protein,99.28%
2276,|1|Training,Non-autophagy protein,97.76%
2277,|1|Training,Non-autophagy protein,66.23%
2278,|1|Training,Non-autophagy protein,78.80%
2279,|1|Training,Non-autophagy protein,99.17%
2280,|1|Training,Non-autophagy protein,98.28%
2281,|1|Training,Non-autophagy protein,99.83%
2282,|1|Training,Non-autophagy protein,66.92%
2283,|1|Training,Non-autophagy protein,86.47%
2284,|1|Training,Autophagy Protein,57.03%
2285,|1|Training,Autophagy Protein,63.02%
2286,|1|Training,Non-autophagy protein,98.05%
2287,|1|Training,Non-autophagy protein,99.61%
2288,|1|Training,Autophagy Protein,54.01%
2289,|1|Training,Autophagy Protein,92.12%
2290,|1|Training,Autophagy Protein,53.19%
2291,|1|Training,Autophagy Protein,75.04%
2292,|1|Training,Autophagy Protein,84.30%
2293,|1|Training,Autophagy Protein,90.80%
2294,|1|Training,Non-autophagy protein,99.47%
2295,|1|Training,Non-autophagy protein,72.55%
2296,|1|Training,Autophagy Protein,93.05%
2297,|1|Training,Autophagy Protein,89.90%
2298,|1|Training,Non-autophagy protein,96.62%
2299,|1|Training,Non-autophagy protein,67.24%
2300,|1|Training,Non-autophagy protein,99.24%
2301,|1|Training,Autophagy Protein,67.89%
2302,|1|Training,Non-autophagy protein,99.71%
2303,|1|Training,Non-autophagy protein,65.17%
2304,|1|Training,Non-autophagy protein,93.77%
2305,|1|Training,Non-autophagy protein,86.01%
2306,|1|Training,Non-autophagy protein,98.68%
2307,|1|Training,Non-autophagy protein,94.25%
2308,|1|Training,Non-autophagy protein,99.61%
2309,|1|Training,Non-autophagy protein,99.68%
2310,|1|Training,Non-autophagy protein,84.10%
2311,|1|Training,Non-autophagy protein,94.05%
2312,|1|Training,Non-autophagy protein,98.07%
2313,|1|Training,Non-autophagy protein,95.93%
2314,|1|Training,Non-autophagy protein,97.21%
2315,|1|Training,Non-autophagy protein,96.21%
2316,|1|Training,Autophagy Protein,53.19%
2317,|1|Training,Non-autophagy protein,93.65%
2318,|1|Training,Non-autophagy protein,99.19%
2319,|1|Training,Non-autophagy protein,99.39%
2320,|1|Training,Non-autophagy protein,98.87%
2321,|1|Training,Non-autophagy protein,96.42%
2322,|1|Training,Non-autophagy protein,98.15%
2323,|1|Training,Non-autophagy protein,99.72%
2324,|1|Training,Non-autophagy protein,97.63%
2325,|1|Training,Non-autophagy protein,98.36%
2326,|1|Training,Non-autophagy protein,99.27%
2327,|1|Training,Non-autophagy protein,88.16%
2328,|1|Training,Non-autophagy protein,96.90%
2329,|1|Training,Non-autophagy protein,74.99%
2330,|1|Training,Non-autophagy protein,92.99%
2331,|1|Training,Non-autophagy protein,88.26%
2332,|1|Training,Non-autophagy protein,98.94%
2333,|1|Training,Autophagy Protein,63.15%
2334,|1|Training,Autophagy Protein,88.29%
2335,|1|Training,Non-autophagy protein,99.77%
2336,|1|Training,Non-autophagy protein,93.98%
2337,|1|Training,Non-autophagy protein,99.01%
2338,|1|Training,Non-autophagy protein,53.48%
2339,|1|Training,Non-autophagy protein,99.79%
2340,|1|Training,Non-autophagy protein,93.90%
2341,|1|Training,Autophagy Protein,88.62%
2342,|1|Training,Non-autophagy protein,74.85%
2343,|1|Training,Non-autophagy protein,79.21%
2344,|1|Training,Non-autophagy protein,99.30%
2345,|1|Training,Non-autophagy protein,98.19%
2346,|1|Training,Non-autophagy protein,99.44%
2347,|1|Training,Non-autophagy protein,96.91%
2348,|1|Training,Non-autophagy protein,99.25%
2349,|1|Training,Non-autophagy protein,99.37%
2350,|1|Training,Non-autophagy protein,52.48%
2351,|1|Training,Autophagy Protein,71.50%
2352,|1|Training,Non-autophagy protein,99.03%
2353,|1|Training,Non-autophagy protein,63.86%
2354,|1|Training,Non-autophagy protein,67.87%
2355,|1|Training,Non-autophagy protein,97.40%
2356,|1|Training,Non-autophagy protein,99.54%
2357,|1|Training,Non-autophagy protein,98.74%
2358,|1|Training,Non-autophagy protein,97.67%
2359,|1|Training,Non-autophagy protein,56.11%
2360,|1|Training,Non-autophagy protein,99.74%
2361,|1|Training,Non-autophagy protein,94.79%
2362,|1|Training,Non-autophagy protein,97.75%
2363,|1|Training,Non-autophagy protein,98.40%
2364,|1|Training,Non-autophagy protein,55.62%
2365,|1|Training,Non-autophagy protein,80.15%
2366,|1|Training,Non-autophagy protein,66.46%
2367,|1|Training,Autophagy Protein,53.81%
2368,|1|Training,Non-autophagy protein,99.78%
2369,|1|Training,Non-autophagy protein,85.53%
2370,|1|Training,Autophagy Protein,72.70%
2371,|1|Training,Non-autophagy protein,86.97%
2372,|1|Training,Non-autophagy protein,61.50%
2373,|1|Training,Non-autophagy protein,90.67%
2374,|1|Training,Non-autophagy protein,99.57%
2375,|1|Training,Non-autophagy protein,96.05%
2376,|1|Training,Non-autophagy protein,69.64%
2377,|1|Training,Non-autophagy protein,71.37%
2378,|1|Training,Non-autophagy protein,94.75%
2379,|1|Training,Non-autophagy protein,98.79%
2380,|1|Training,Non-autophagy protein,99.44%
2381,|1|Training,Non-autophagy protein,99.91%
2382,|1|Training,Non-autophagy protein,97.56%
2383,|1|Training,Non-autophagy protein,98.56%
2384,|1|Training,Non-autophagy protein,91.37%
2385,|1|Training,Autophagy Protein,77.33%
2386,|1|Training,Non-autophagy protein,90.39%
2387,|1|Training,Non-autophagy protein,58.58%
2388,|1|Training,Non-autophagy protein,65.49%
2389,|1|Training,Non-autophagy protein,83.79%
2390,|1|Training,Non-autophagy protein,99.85%
2391,|1|Training,Non-autophagy protein,54.75%
2392,|1|Training,Non-autophagy protein,87.32%
2393,|1|Training,Autophagy Protein,57.70%
2394,|1|Training,Non-autophagy protein,99.49%
2395,|1|Training,Non-autophagy protein,98.64%
2396,|1|Training,Autophagy Protein,61.98%
2397,|1|Training,Non-autophagy protein,85.30%
2398,|1|Training,Non-autophagy protein,97.86%
2399,|1|Training,Non-autophagy protein,98.42%
2400,|1|Training,Non-autophagy protein,95.06%
2401,|1|Training,Autophagy Protein,71.21%
2402,|1|Training,Non-autophagy protein,99.31%
2403,|1|Training,Non-autophagy protein,99.81%
2404,|1|Training,Non-autophagy protein,96.95%
2405,|1|Training,Non-autophagy protein,76.09%
2406,|1|Training,Non-autophagy protein,98.95%
2407,|1|Training,Non-autophagy protein,97.09%
2408,|1|Training,Non-autophagy protein,80.46%
2409,|1|Training,Non-autophagy protein,85.56%
2410,|1|Training,Non-autophagy protein,98.96%
2411,|1|Training,Non-autophagy protein,99.06%
2412,|1|Training,Non-autophagy protein,96.62%
2413,|1|Training,Autophagy Protein,73.42%
2414,|1|Training,Non-autophagy protein,77.85%
2415,|1|Training,Non-autophagy protein,68.37%
2416,|1|Training,Non-autophagy protein,84.39%
2417,|1|Training,Non-autophagy protein,99.36%
2418,|1|Training,Non-autophagy protein,96.18%
2419,|1|Training,Non-autophagy protein,97.93%
2420,|1|Training,Non-autophagy protein,94.97%
2421,|1|Training,Non-autophagy protein,99.51%
2422,|1|Training,Non-autophagy protein,83.40%
2423,|1|Training,Non-autophagy protein,94.62%
2424,|1|Training,Non-autophagy protein,99.19%
2425,|1|Training,Non-autophagy protein,91.29%
2426,|1|Training,Non-autophagy protein,99.67%
2427,|1|Training,Non-autophagy protein,91.60%
2428,|1|Training,Non-autophagy protein,85.13%
2429,|1|Training,Non-autophagy protein,93.41%
2430,|1|Training,Non-autophagy protein,98.27%
2431,|1|Training,Non-autophagy protein,99.21%
2432,|1|Training,Non-autophagy protein,93.96%
2433,|1|Training,Non-autophagy protein,96.90%
2434,|1|Training,Non-autophagy protein,99.78%
2435,|1|Training,Non-autophagy protein,99.87%
2436,|1|Training,Non-autophagy protein,98.16%
2437,|1|Training,Non-autophagy protein,98.55%
2438,|1|Training,Autophagy Protein,56.84%
2439,|1|Training,Non-autophagy protein,89.61%
2440,|1|Training,Non-autophagy protein,99.82%
2441,|1|Training,Non-autophagy protein,83.72%
2442,|1|Training,Autophagy Protein,52.65%
2443,|1|Training,Non-autophagy protein,93.98%
2444,|1|Training,Non-autophagy protein,96.52%
2445,|1|Training,Non-autophagy protein,98.53%
2446,|1|Training,Autophagy Protein,60.27%
2447,|1|Training,Non-autophagy protein,61.93%
2448,|1|Training,Non-autophagy protein,94.68%
2449,|1|Training,Non-autophagy protein,88.17%
2450,|1|Training,Non-autophagy protein,99.55%
2451,|1|Training,Non-autophagy protein,95.32%
2452,|1|Training,Non-autophagy protein,88.19%
2453,|1|Training,Non-autophagy protein,91.74%
2454,|1|Training,Non-autophagy protein,94.17%
2455,|1|Training,Autophagy Protein,80.70%
2456,|1|Training,Autophagy Protein,64.13%
2457,|1|Training,Non-autophagy protein,99.73%
2458,|1|Training,Non-autophagy protein,94.68%
2459,|1|Training,Non-autophagy protein,82.22%
2460,|1|Training,Non-autophagy protein,97.84%
2461,|1|Training,Non-autophagy protein,99.05%
2462,|1|Training,Non-autophagy protein,96.68%
2463,|1|Training,Non-autophagy protein,94.97%
2464,|1|Training,Non-autophagy protein,99.80%
2465,|1|Training,Non-autophagy protein,99.79%
2466,|1|Training,Non-autophagy protein,97.64%
2467,|1|Training,Non-autophagy protein,98.27%
2468,|1|Training,Non-autophagy protein,95.03%
2469,|1|Training,Non-autophagy protein,94.12%
2470,|1|Training,Non-autophagy protein,90.26%
2471,|1|Training,Non-autophagy protein,99.80%
2472,|1|Training,Non-autophagy protein,95.16%
2473,|1|Training,Non-autophagy protein,65.79%
2474,|1|Training,Non-autophagy protein,88.95%
2475,|1|Training,Non-autophagy protein,99.56%
2476,|1|Training,Non-autophagy protein,94.05%
2477,|1|Training,Non-autophagy protein,74.12%
2478,|1|Training,Non-autophagy protein,99.42%
2479,|1|Training,Non-autophagy protein,79.62%
2480,|1|Training,Non-autophagy protein,99.38%
2481,|1|Training,Non-autophagy protein,99.60%
2482,|1|Training,Non-autophagy protein,99.75%
2483,|1|Training,Autophagy Protein,85.50%
2484,|1|Training,Non-autophagy protein,95.06%
2485,|1|Training,Non-autophagy protein,97.63%
2486,|1|Training,Non-autophagy protein,97.66%
2487,|1|Training,Non-autophagy protein,91.25%
2488,|1|Training,Non-autophagy protein,99.70%
2489,|1|Training,Non-autophagy protein,97.82%
2490,|1|Training,Non-autophagy protein,99.75%
2491,|1|Training,Non-autophagy protein,91.51%
2492,|1|Training,Non-autophagy protein,99.09%
2493,|1|Training,Non-autophagy protein,83.33%
2494,|1|Training,Non-autophagy protein,99.72%
2495,|1|Training,Non-autophagy protein,95.54%
2496,|1|Training,Non-autophagy protein,62.46%
2497,|1|Training,Non-autophagy protein,76.83%
2498,|1|Training,Non-autophagy protein,97.88%
2499,|1|Training,Non-autophagy protein,94.10%
2500,|1|Training,Non-autophagy protein,94.51%
2501,|1|Training,Autophagy Protein,66.68%
2502,|1|Training,Autophagy Protein,86.67%
2503,|1|Training,Non-autophagy protein,61.34%
2504,|1|Training,Autophagy Protein,97.61%
2505,|1|Training,Non-autophagy protein,71.42%
2506,|1|Training,Non-autophagy protein,99.34%
2507,|1|Training,Non-autophagy protein,94.49%
2508,|1|Training,Non-autophagy protein,76.93%
2509,|1|Training,Non-autophagy protein,89.49%
2510,|1|Training,Non-autophagy protein,91.97%
2511,|1|Training,Non-autophagy protein,97.03%
2512,|1|Training,Autophagy Protein,55.69%
2513,|1|Training,Non-autophagy protein,90.52%
2514,|1|Training,Autophagy Protein,97.84%
2515,|1|Training,Non-autophagy protein,81.96%
2516,|1|Training,Non-autophagy protein,72.13%
2517,|1|Training,Non-autophagy protein,50.00%
2518,|1|Training,Non-autophagy protein,96.42%
2519,|1|Training,Autophagy Protein,58.24%
2520,|1|Training,Autophagy Protein,80.45%
2521,|1|Training,Non-autophagy protein,86.47%
2522,|1|Training,Autophagy Protein,86.97%
2523,|1|Training,Non-autophagy protein,97.09%
2524,|1|Training,Non-autophagy protein,95.16%
2525,|1|Training,Non-autophagy protein,94.07%
2526,|1|Training,Non-autophagy protein,99.51%
2527,|1|Training,Non-autophagy protein,99.41%
2528,|1|Training,Non-autophagy protein,93.89%
2529,|1|Training,Non-autophagy protein,99.05%
2530,|1|Training,Non-autophagy protein,92.94%
2531,|1|Training,Autophagy Protein,88.32%
2532,|1|Training,Autophagy Protein,71.32%
2533,|1|Training,Non-autophagy protein,98.97%
2534,|1|Training,Non-autophagy protein,92.62%
2535,|1|Training,Non-autophagy protein,79.72%
2536,|1|Training,Autophagy Protein,53.13%
2537,|1|Training,Non-autophagy protein,72.01%
2538,|1|Training,Non-autophagy protein,95.24%
2539,|1|Training,Non-autophagy protein,91.18%
2540,|1|Training,Non-autophagy protein,75.77%
2541,|1|Training,Non-autophagy protein,92.74%
2542,|1|Training,Non-autophagy protein,78.59%
2543,|1|Training,Non-autophagy protein,99.53%
2544,|1|Training,Non-autophagy protein,97.08%
2545,|1|Training,Non-autophagy protein,95.82%
2546,|1|Training,Non-autophagy protein,98.38%
2547,|1|Training,Non-autophagy protein,85.05%
2548,|1|Training,Non-autophagy protein,96.41%
2549,|1|Training,Non-autophagy protein,99.78%
2550,|1|Training,Non-autophagy protein,95.46%
2551,|1|Training,Non-autophagy protein,98.04%
2552,|1|Training,Non-autophagy protein,91.95%
2553,|1|Training,Non-autophagy protein,70.49%
2554,|1|Training,Non-autophagy protein,67.96%
2555,|1|Training,Non-autophagy protein,93.01%
2556,|1|Training,Non-autophagy protein,48.14%
2557,|1|Training,Non-autophagy protein,78.03%
2558,|1|Training,Non-autophagy protein,83.06%
2559,|1|Training,Non-autophagy protein,97.69%
2560,|1|Training,Non-autophagy protein,97.65%
2561,|1|Training,Non-autophagy protein,99.74%
2562,|1|Training,Non-autophagy protein,99.75%
2563,|1|Training,Non-autophagy protein,53.09%
2564,|1|Training,Non-autophagy protein,82.71%
2565,|1|Training,Non-autophagy protein,58.97%
2566,|1|Training,Non-autophagy protein,63.98%
2567,|1|Training,Non-autophagy protein,91.37%
2568,|1|Training,Non-autophagy protein,98.73%
2569,|1|Training,Non-autophagy protein,99.89%
2570,|1|Training,Non-autophagy protein,98.35%
2571,|1|Training,Non-autophagy protein,81.71%
2572,|1|Training,Non-autophagy protein,99.90%
2573,|1|Training,Autophagy Protein,95.14%
2574,|1|Training,Non-autophagy protein,97.95%
2575,|1|Training,Non-autophagy protein,99.28%
2576,|1|Training,Non-autophagy protein,90.70%
2577,|1|Training,Non-autophagy protein,99.86%
2578,|1|Training,Non-autophagy protein,87.50%
2579,|1|Training,Non-autophagy protein,96.37%
2580,|1|Training,Non-autophagy protein,68.46%
2581,|1|Training,Non-autophagy protein,78.77%
2582,|1|Training,Non-autophagy protein,97.56%
2583,|1|Training,Autophagy Protein,96.33%
2584,|1|Training,Non-autophagy protein,99.58%
2585,|1|Training,Non-autophagy protein,56.84%
2586,|1|Training,Non-autophagy protein,98.63%
2587,|1|Training,Autophagy Protein,75.88%
2588,|1|Training,Non-autophagy protein,99.35%
2589,|1|Training,Autophagy Protein,82.46%
2590,|1|Training,Non-autophagy protein,91.71%
2591,|1|Training,Autophagy Protein,85.75%
2592,|1|Training,Non-autophagy protein,99.51%
2593,|1|Training,Non-autophagy protein,99.08%
2594,|1|Training,Non-autophagy protein,86.11%
2595,|1|Training,Non-autophagy protein,99.28%
2596,|1|Training,Non-autophagy protein,69.94%
2597,|1|Training,Autophagy Protein,73.61%
2598,|1|Training,Non-autophagy protein,93.66%
2599,|1|Training,Non-autophagy protein,69.34%
2600,|1|Training,Non-autophagy protein,87.92%
2601,|1|Training,Autophagy Protein,63.53%
2602,|1|Training,Non-autophagy protein,91.38%
2603,|1|Training,Non-autophagy protein,93.73%
2604,|1|Training,Non-autophagy protein,56.16%
2605,|1|Training,Autophagy Protein,86.26%
2606,|1|Training,Non-autophagy protein,99.41%
2607,|1|Training,Autophagy Protein,56.05%
2608,|1|Training,Non-autophagy protein,97.98%
2609,|1|Training,Non-autophagy protein,98.65%
2610,|1|Training,Non-autophagy protein,88.62%
2611,|1|Training,Non-autophagy protein,93.20%
2612,|1|Training,Non-autophagy protein,99.75%
2613,|1|Training,Non-autophagy protein,96.37%
2614,|1|Training,Non-autophagy protein,54.87%
2615,|1|Training,Non-autophagy protein,89.61%
2616,|1|Training,Non-autophagy protein,99.06%
2617,|1|Training,Non-autophagy protein,78.52%
2618,|1|Training,Non-autophagy protein,99.76%
2619,|1|Training,Non-autophagy protein,81.77%
2620,|1|Training,Non-autophagy protein,94.52%
2621,|1|Training,Non-autophagy protein,96.36%
2622,|1|Training,Non-autophagy protein,80.74%
2623,|1|Training,Non-autophagy protein,66.82%
2624,|1|Training,Non-autophagy protein,83.43%
2625,|1|Training,Autophagy Protein,82.54%
2626,|1|Training,Non-autophagy protein,98.62%
2627,|1|Training,Autophagy Protein,83.45%
2628,|1|Training,Non-autophagy protein,96.12%
2629,|1|Training,Non-autophagy protein,99.05%
2630,|1|Training,Autophagy Protein,68.06%
2631,|1|Training,Non-autophagy protein,98.15%
2632,|1|Training,Non-autophagy protein,89.16%
2633,|1|Training,Non-autophagy protein,99.92%
2634,|1|Training,Non-autophagy protein,96.44%
2635,|1|Training,Non-autophagy protein,99.17%
2636,|1|Training,Non-autophagy protein,98.62%
2637,|1|Training,Non-autophagy protein,99.63%
2638,|1|Training,Non-autophagy protein,94.23%
2639,|1|Training,Non-autophagy protein,98.90%
2640,|1|Training,Autophagy Protein,55.06%
2641,|1|Training,Non-autophagy protein,99.76%
2642,|1|Training,Non-autophagy protein,65.40%
2643,|1|Training,Non-autophagy protein,94.65%
2644,|1|Training,Non-autophagy protein,93.91%
2645,|1|Training,Non-autophagy protein,98.47%
2646,|1|Training,Autophagy Protein,93.54%
2647,|1|Training,Non-autophagy protein,71.91%
2648,|1|Training,Non-autophagy protein,99.87%
2649,|1|Training,Non-autophagy protein,99.14%
2650,|1|Training,Autophagy Protein,58.83%
2651,|1|Training,Non-autophagy protein,99.72%
2652,|1|Training,Non-autophagy protein,99.84%
